USER	Borrar datos	END	1679619638959
REQUEST		Create	1679619638926	1679619638962	OK	 
USER	Crear datos	END	1679619638962
USER	Obtener datos	START	1679619639034
REQUEST		Select	1679619639034	1679619639047	OK	 
USER	Obtener datos	END	1679619639047
USER	Obtener datos	START	1679619639128
USER	Borrar datos	START	1679619639128
USER	Crear datos	START	1679619639129
REQUEST		Select	1679619639127	1679619639145	OK	 
USER	Obtener datos	END	1679619639147
REQUEST		Delete	1679619639128	1679619639149	OK	 
USER	Borrar datos	END	1679619639149
REQUEST		Create	1679619639128	1679619639151	OK	 
USER	Crear datos	END	1679619639152
USER	Actualizar datos	START	1679619639237
USER	Obtener datos	START	1679619639237
REQUEST		Select	1679619639236	1679619639249	OK	 
USER	Obtener datos	END	1679619639250
REQUEST		Update	1679619639236	1679619639262	OK	 
USER	Actualizar datos	END	1679619639262
USER	Obtener datos	START	1679619639330
USER	Crear datos	START	1679619639330
USER	Borrar datos	START	1679619639330
REQUEST		Create	1679619639329	1679619639355	OK	 
USER	Crear datos	END	1679619639355
REQUEST		Delete	1679619639329	1679619639358	OK	 
REQUEST		Select	1679619639329	1679619639358	OK	 
USER	Obtener datos	END	1679619639358
USER	Borrar datos	END	1679619639358
USER	Obtener datos	START	1679619639439
REQUEST		Select	1679619639438	1679619639451	OK	 
USER	Obtener datos	END	1679619639451
USER	Borrar datos	START	1679619639533
USER	Crear datos	START	1679619639533
USER	Obtener datos	START	1679619639534
REQUEST		Delete	1679619639532	1679619639553	OK	 
USER	Borrar datos	END	1679619639553
REQUEST		Select	1679619639534	1679619639556	OK	 
REQUEST		Create	1679619639532	1679619639556	OK	 
USER	Obtener datos	END	1679619639557
USER	Crear datos	END	1679619639557
USER	Obtener datos	START	1679619639624
REQUEST		Select	1679619639623	1679619639636	OK	 
USER	Obtener datos	END	1679619639636
USER	Borrar datos	START	1679619639733
USER	Obtener datos	START	1679619639733
USER	Actualizar datos	START	1679619639734
USER	Crear datos	START	1679619639735
REQUEST		Select	1679619639732	1679619639750	OK	 
USER	Obtener datos	END	1679619639751
REQUEST		Delete	1679619639732	1679619639761	OK	 
USER	Borrar datos	END	1679619639761
REQUEST		Create	1679619639735	1679619639763	OK	 
USER	Crear datos	END	1679619639763
REQUEST		Update	1679619639734	1679619639765	OK	 
USER	Actualizar datos	END	1679619639765
USER	Obtener datos	START	1679619639825
REQUEST		Select	1679619639825	1679619639841	OK	 
USER	Obtener datos	END	1679619639841
USER	Crear datos	START	1679619639935
USER	Obtener datos	START	1679619639935
USER	Borrar datos	START	1679619639935
REQUEST		Select	1679619639935	1679619639949	OK	 
USER	Obtener datos	END	1679619639950
REQUEST		Create	1679619639935	1679619639962	OK	 
USER	Crear datos	END	1679619639962
REQUEST		Delete	1679619639935	1679619639964	OK	 
USER	Borrar datos	END	1679619639964
USER	Obtener datos	START	1679619640029
REQUEST		Select	1679619640028	1679619640041	OK	 
USER	Obtener datos	END	1679619640041
USER	Borrar datos	START	1679619640123
REQUEST		Delete	1679619640123	1679619640136	OK	 
USER	Borrar datos	END	1679619640136
USER	Obtener datos	START	1679619640139
USER	Crear datos	START	1679619640139
REQUEST		Select	1679619640139	1679619640153	OK	 
USER	Obtener datos	END	1679619640153
REQUEST		Create	1679619640139	1679619640154	OK	 
USER	Crear datos	END	1679619640155
USER	Actualizar datos	START	1679619640231
USER	Obtener datos	START	1679619640231
REQUEST		Select	1679619640231	1679619640246	OK	 
USER	Obtener datos	END	1679619640246
REQUEST		Update	1679619640231	1679619640257	OK	 
USER	Actualizar datos	END	1679619640257
USER	Borrar datos	START	1679619640324
USER	Obtener datos	START	1679619640324
USER	Crear datos	START	1679619640324
REQUEST		Create	1679619640323	1679619640348	OK	 
REQUEST		Delete	1679619640323	1679619640348	OK	 
USER	Crear datos	END	1679619640349
USER	Borrar datos	END	1679619640349
REQUEST		Select	1679619640323	1679619640350	OK	 
USER	Obtener datos	END	1679619640350
USER	Obtener datos	START	1679619640433
REQUEST		Select	1679619640432	1679619640456	OK	 
USER	Obtener datos	END	1679619640456
USER	Borrar datos	START	1679619640523
USER	Obtener datos	START	1679619640538
REQUEST		Delete	1679619640523	1679619640538	OK	 
USER	Borrar datos	END	1679619640539
USER	Crear datos	START	1679619640540
REQUEST		Select	1679619640538	1679619640558	OK	 
USER	Obtener datos	END	1679619640559
REQUEST		Create	1679619640539	1679619640560	OK	 
USER	Crear datos	END	1679619640561
USER	Obtener datos	START	1679619640632
REQUEST		Select	1679619640631	1679619640644	OK	 
USER	Obtener datos	END	1679619640644
USER	Crear datos	START	1679619640741
USER	Obtener datos	START	1679619640742
USER	Actualizar datos	START	1679619640742
USER	Borrar datos	START	1679619640742
REQUEST		Update	1679619640742	1679619640779	OK	 
USER	Actualizar datos	END	1679619640780
REQUEST		Select	1679619640742	1679619640780	OK	 
USER	Obtener datos	END	1679619640780
REQUEST		Create	1679619640741	1679619640783	OK	 
REQUEST		Delete	1679619640742	1679619640784	OK	 
USER	Crear datos	END	1679619640784
USER	Borrar datos	END	1679619640784
USER	Obtener datos	START	1679619640833
REQUEST		Select	1679619640833	1679619640850	OK	 
USER	Obtener datos	END	1679619640850
USER	Crear datos	START	1679619640925
USER	Obtener datos	START	1679619640925
USER	Borrar datos	START	1679619640926
REQUEST		Delete	1679619640925	1679619640954	OK	 
USER	Borrar datos	END	1679619640954
REQUEST		Select	1679619640925	1679619640957	OK	 
USER	Obtener datos	END	1679619640958
