RUN	testDataset	testdataset	1679711843535	 	3.9.2
USER	Crear datos	START	1679711844642
USER	Obtener datos	START	1679711844643
USER	Borrar datos	START	1679711844643
USER	Actualizar datos	START	1679711844650
USER	Obtener datos	START	1679711844685
REQUEST		Update	1679711844641	1679711844681	OK	 
REQUEST		Delete	1679711844640	1679711844681	OK	 
REQUEST		Select	1679711844640	1679711844681	OK	 
REQUEST		Create	1679711844640	1679711844718	OK	 
USER	Borrar datos	END	1679711844726
USER	Crear datos	END	1679711844726
USER	Actualizar datos	END	1679711844726
USER	Obtener datos	END	1679711844727
REQUEST		Select	1679711844684	1679711844750	OK	 
USER	Obtener datos	END	1679711844750
USER	Obtener datos	START	1679711844793
USER	Borrar datos	START	1679711844794
USER	Crear datos	START	1679711844794
REQUEST		Select	1679711844793	1679711844821	OK	 
USER	Obtener datos	END	1679711844821
REQUEST		Create	1679711844794	1679711844835	OK	 
REQUEST		Delete	1679711844793	1679711844836	OK	 
USER	Borrar datos	END	1679711844836
USER	Crear datos	END	1679711844836
USER	Obtener datos	START	1679711844886
REQUEST		Select	1679711844886	1679711844900	OK	 
USER	Obtener datos	END	1679711844901
USER	Borrar datos	START	1679711844980
USER	Obtener datos	START	1679711844981
USER	Crear datos	START	1679711844996
REQUEST		Select	1679711844981	1679711845006	OK	 
REQUEST		Delete	1679711844980	1679711845008	OK	 
USER	Obtener datos	END	1679711845008
USER	Borrar datos	END	1679711845009
REQUEST		Create	1679711844995	1679711845012	OK	 
USER	Crear datos	END	1679711845013
USER	Actualizar datos	START	1679711845089
USER	Obtener datos	START	1679711845089
REQUEST		Select	1679711845088	1679711845101	OK	 
USER	Obtener datos	END	1679711845102
REQUEST		Update	1679711845088	1679711845104	OK	 
USER	Actualizar datos	END	1679711845104
USER	Borrar datos	START	1679711845180
USER	Obtener datos	START	1679711845181
USER	Crear datos	START	1679711845197
REQUEST		Select	1679711845180	1679711845199	OK	 
USER	Obtener datos	END	1679711845200
REQUEST		Delete	1679711845180	1679711845210	OK	 
USER	Borrar datos	END	1679711845211
REQUEST		Create	1679711845196	1679711845213	OK	 
USER	Crear datos	END	1679711845214
USER	Obtener datos	START	1679711845290
REQUEST		Select	1679711845290	1679711845304	OK	 
USER	Obtener datos	END	1679711845304
USER	Borrar datos	START	1679711845385
USER	Obtener datos	START	1679711845392
USER	Crear datos	START	1679711845400
REQUEST		Delete	1679711845384	1679711845413	OK	 
USER	Borrar datos	END	1679711845413
REQUEST		Select	1679711845390	1679711845421	OK	 
REQUEST		Create	1679711845398	1679711845421	OK	 
USER	Crear datos	END	1679711845421
USER	Obtener datos	END	1679711845421
USER	Obtener datos	START	1679711845488
REQUEST		Select	1679711845488	1679711845501	OK	 
USER	Obtener datos	END	1679711845501
USER	Actualizar datos	START	1679711845580
USER	Obtener datos	START	1679711845580
USER	Borrar datos	START	1679711845580
REQUEST		Select	1679711845580	1679711845594	OK	 
USER	Obtener datos	END	1679711845594
USER	Crear datos	START	1679711845595
REQUEST		Delete	1679711845580	1679711845606	OK	 
REQUEST		Update	1679711845579	1679711845609	OK	 
USER	Actualizar datos	END	1679711845610
USER	Borrar datos	END	1679711845610
REQUEST		Create	1679711845595	1679711845611	OK	 
USER	Crear datos	END	1679711845612
USER	Obtener datos	START	1679711845689
REQUEST		Select	1679711845689	1679711845701	OK	 
USER	Obtener datos	END	1679711845702
USER	Obtener datos	START	1679711845781
USER	Borrar datos	START	1679711845781
REQUEST		Delete	1679711845781	1679711845795	OK	 
REQUEST		Select	1679711845781	1679711845795	OK	 
USER	Borrar datos	END	1679711845796
USER	Crear datos	START	1679711845796
USER	Obtener datos	END	1679711845796
REQUEST		Create	1679711845795	1679711845810	OK	 
USER	Crear datos	END	1679711845811
USER	Obtener datos	START	1679711845889
REQUEST		Select	1679711845888	1679711845901	OK	 
USER	Obtener datos	END	1679711845901
USER	Borrar datos	START	1679711845982
USER	Obtener datos	START	1679711845983
USER	Crear datos	START	1679711845997
REQUEST		Delete	1679711845981	1679711846024	OK	 
USER	Borrar datos	END	1679711846025
REQUEST		Select	1679711845981	1679711846027	OK	 
USER	Obtener datos	END	1679711846029
REQUEST		Create	1679711845996	1679711846033	OK	 
USER	Crear datos	END	1679711846034
USER	Actualizar datos	START	1679711846089
USER	Obtener datos	START	1679711846089
REQUEST		Update	1679711846089	1679711846124	OK	 
USER	Actualizar datos	END	1679711846124
REQUEST		Select	1679711846089	1679711846127	OK	 
USER	Obtener datos	END	1679711846129
