RUN	testDataset	testdataset	1679110058571	 	3.9.2
USER	Obtener datos	START	1679110060360
USER	Obtener datos	START	1679110060360
USER	Crear datos	START	1679110060360
USER	Borrar datos	START	1679110060360
USER	Actualizar datos	START	1679110060366
USER	Obtener datos	START	1679110060429
USER	Borrar datos	START	1679110060433
USER	Crear datos	START	1679110060452
REQUEST		Create	1679110060450	1679110060461	OK	 
REQUEST		Select	1679110060427	1679110060437	OK	 
REQUEST		Select	1679110060355	1679110060406	OK	 
REQUEST		Delete	1679110060431	1679110060444	OK	 
REQUEST		Create	1679110060355	1679110060406	OK	 
REQUEST		Delete	1679110060355	1679110060406	OK	 
REQUEST		Select	1679110060355	1679110060406	OK	 
USER	Obtener datos	END	1679110060492
USER	Obtener datos	END	1679110060493
USER	Crear datos	END	1679110060493
USER	Crear datos	END	1679110060493
USER	Borrar datos	END	1679110060493
USER	Obtener datos	END	1679110060493
USER	Borrar datos	END	1679110060493
REQUEST		Update	1679110060365	1679110060496	OK	 
USER	Actualizar datos	END	1679110060498
USER	Obtener datos	START	1679110060540
REQUEST		Select	1679110060538	1679110060547	OK	 
USER	Obtener datos	END	1679110060548
USER	Obtener datos	START	1679110060633
USER	Borrar datos	START	1679110060635
REQUEST		Select	1679110060632	1679110060649	OK	 
USER	Crear datos	START	1679110060650
USER	Obtener datos	END	1679110060652
REQUEST		Delete	1679110060632	1679110060655	OK	 
USER	Borrar datos	END	1679110060657
REQUEST		Create	1679110060647	1679110060665	OK	 
USER	Crear datos	END	1679110060666
USER	Obtener datos	START	1679110060742
USER	Actualizar datos	START	1679110060742
REQUEST		Select	1679110060740	1679110060767	OK	 
REQUEST		Update	1679110060740	1679110060769	OK	 
USER	Obtener datos	END	1679110060769
USER	Actualizar datos	END	1679110060771
USER	Obtener datos	START	1679110060836
USER	Borrar datos	START	1679110060837
REQUEST		Select	1679110060835	1679110060854	OK	 
USER	Crear datos	START	1679110060855
REQUEST		Delete	1679110060835	1679110060855	OK	 
USER	Obtener datos	END	1679110060855
USER	Borrar datos	END	1679110060857
REQUEST		Create	1679110060850	1679110060869	OK	 
USER	Crear datos	END	1679110060870
USER	Obtener datos	START	1679110060942
REQUEST		Select	1679110060941	1679110060950	OK	 
USER	Obtener datos	END	1679110060952
USER	Obtener datos	START	1679110061036
USER	Borrar datos	START	1679110061036
REQUEST		Select	1679110061034	1679110061048	OK	 
USER	Obtener datos	END	1679110061051
REQUEST		Delete	1679110061034	1679110061052	OK	 
USER	Crear datos	START	1679110061053
USER	Borrar datos	END	1679110061054
REQUEST		Create	1679110061050	1679110061061	OK	 
USER	Crear datos	END	1679110061063
USER	Obtener datos	START	1679110061144
REQUEST		Select	1679110061143	1679110061156	OK	 
USER	Obtener datos	END	1679110061157
USER	Obtener datos	START	1679110061238
USER	Actualizar datos	START	1679110061238
USER	Borrar datos	START	1679110061239
USER	Crear datos	START	1679110061244
REQUEST		Select	1679110061237	1679110061255	OK	 
USER	Obtener datos	END	1679110061256
REQUEST		Update	1679110061237	1679110061264	OK	 
USER	Actualizar datos	END	1679110061266
REQUEST		Delete	1679110061237	1679110061268	OK	 
USER	Borrar datos	END	1679110061269
REQUEST		Create	1679110061243	1679110061270	OK	 
USER	Crear datos	END	1679110061271
USER	Obtener datos	START	1679110061332
REQUEST		Select	1679110061330	1679110061343	OK	 
USER	Obtener datos	END	1679110061345
USER	Borrar datos	START	1679110061439
USER	Obtener datos	START	1679110061439
USER	Crear datos	START	1679110061455
REQUEST		Select	1679110061437	1679110061455	OK	 
USER	Obtener datos	END	1679110061458
REQUEST		Delete	1679110061437	1679110061458	OK	 
USER	Borrar datos	END	1679110061459
REQUEST		Create	1679110061453	1679110061471	OK	 
USER	Crear datos	END	1679110061473
USER	Obtener datos	START	1679110061533
REQUEST		Select	1679110061531	1679110061544	OK	 
USER	Obtener datos	END	1679110061546
USER	Borrar datos	START	1679110061641
