RUN	testDataset	testdataset	1679723780374	 	3.9.2
USER	Crear datos	START	1679723782887
USER	Obtener datos	START	1679723782888
USER	Borrar datos	START	1679723782887
USER	Actualizar datos	START	1679723782887
USER	Obtener datos	START	1679723782929
USER	Crear datos	START	1679723783051
USER	Borrar datos	START	1679723783067
USER	Obtener datos	START	1679723783147
USER	Obtener datos	START	1679723783312
USER	Crear datos	START	1679723783370
USER	Borrar datos	START	1679723783380
USER	Obtener datos	START	1679723783506
REQUEST		Select	1679723783304	1679723783629	OK	 
REQUEST		Select	1679723783145	1679723783668	OK	 
USER	Obtener datos	END	1679723783669
USER	Obtener datos	END	1679723783670
USER	Obtener datos	START	1679723783698
USER	Actualizar datos	START	1679723783699
USER	Borrar datos	START	1679723783703
USER	Crear datos	START	1679723783717
REQUEST		Delete	1679723783065	1679723783874	OK	 
REQUEST		Update	1679723782882	1679723783876	OK	 
USER	Borrar datos	END	1679723783878
USER	Actualizar datos	END	1679723783878
USER	Obtener datos	START	1679723783895
USER	Borrar datos	START	1679723784033
USER	Crear datos	START	1679723784050
USER	Obtener datos	START	1679723784097
REQUEST		Select	1679723782927	1679723784167	OK	 
USER	Obtener datos	END	1679723784168
REQUEST		Select	1679723782882	1679723784198	OK	 
USER	Obtener datos	END	1679723784198
REQUEST		Delete	1679723782882	1679723784235	OK	 
USER	Borrar datos	END	1679723784235
REQUEST		Select	1679723783504	1679723784290	OK	 
USER	Obtener datos	END	1679723784292
USER	Obtener datos	START	1679723784305
USER	Borrar datos	START	1679723784365
USER	Crear datos	START	1679723784378
REQUEST		Delete	1679723783378	1679723784383	OK	 
USER	Borrar datos	END	1679723784384
USER	Obtener datos	START	1679723784502
REQUEST		Select	1679723783696	1679723784588	OK	 
USER	Obtener datos	END	1679723784589
REQUEST		Delete	1679723783702	1679723784600	OK	 
USER	Borrar datos	END	1679723784601
REQUEST		Delete	1679723784032	1679723784608	OK	 
USER	Borrar datos	END	1679723784609
REQUEST		Update	1679723783697	1679723784647	OK	 
USER	Actualizar datos	END	1679723784648
REQUEST		Select	1679723783894	1679723784685	OK	 
USER	Obtener datos	END	1679723784686
USER	Borrar datos	START	1679723784698
USER	Actualizar datos	START	1679723784698
USER	Obtener datos	START	1679723784699
USER	Crear datos	START	1679723784721
REQUEST		Select	1679723784304	1679723784725	OK	 
USER	Obtener datos	END	1679723784726
REQUEST		Select	1679723784096	1679723784841	OK	 
USER	Obtener datos	END	1679723784842
USER	Obtener datos	START	1679723784896
REQUEST		Delete	1679723784363	1679723784907	OK	 
USER	Borrar datos	END	1679723784908
USER	Crear datos	START	1679723785025
USER	Borrar datos	START	1679723785028
REQUEST		Select	1679723784698	1679723785050	OK	 
USER	Obtener datos	END	1679723785051
REQUEST		Select	1679723784502	1679723785072	OK	 
USER	Obtener datos	END	1679723785073
USER	Obtener datos	START	1679723785093
REQUEST		Update	1679723784698	1679723785115	OK	 
USER	Actualizar datos	END	1679723785116
REQUEST		Delete	1679723784697	1679723785136	OK	 
USER	Borrar datos	END	1679723785137
REQUEST		Select	1679723784895	1679723785218	OK	 
USER	Obtener datos	END	1679723785219
REQUEST		Delete	1679723785027	1679723785269	OK	 
USER	Borrar datos	END	1679723785270
USER	Obtener datos	START	1679723785299
REQUEST		Select	1679723785092	1679723785330	OK	 
USER	Obtener datos	END	1679723785330
USER	Borrar datos	START	1679723785381
USER	Crear datos	START	1679723785385
REQUEST		Delete	1679723785379	1679723785513	OK	 
USER	Borrar datos	END	1679723785514
USER	Obtener datos	START	1679723785517
REQUEST		Select	1679723785299	1679723785520	OK	 
USER	Obtener datos	END	1679723785521
REQUEST		Select	1679723785500	1679723785626	OK	 
USER	Obtener datos	END	1679723785627
USER	Obtener datos	START	1679723785693
USER	Crear datos	START	1679723785693
USER	Actualizar datos	START	1679723785694
USER	Borrar datos	START	1679723785697
REQUEST		Delete	1679723785697	1679723785848	OK	 
USER	Borrar datos	END	1679723785849
REQUEST		Select	1679723785692	1679723785863	OK	 
USER	Obtener datos	END	1679723785864
REQUEST		Update	1679723785692	1679723785864	OK	 
USER	Actualizar datos	END	1679723785865
USER	Obtener datos	START	1679723785896
REQUEST		Select	1679723785895	1679723785958	OK	 
USER	Obtener datos	END	1679723785959
USER	Crear datos	START	1679723786036
USER	Borrar datos	START	1679723786036
REQUEST		Delete	1679723786035	1679723786080	OK	 
USER	Borrar datos	END	1679723786081
USER	Obtener datos	START	1679723786097
REQUEST		Select	1679723786096	1679723786143	OK	 
USER	Obtener datos	END	1679723786144
USER	Obtener datos	START	1679723786304
USER	Borrar datos	START	1679723786366
USER	Crear datos	START	1679723786373
REQUEST		Select	1679723786303	1679723786410	OK	 
USER	Obtener datos	END	1679723786412
REQUEST		Create	1679723782883	1679723786471	OK	 
USER	Crear datos	END	1679723786471
USER	Obtener datos	START	1679723786493
REQUEST		Create	1679723784048	1679723786579	OK	 
REQUEST		Create	1679723784378	1679723786580	OK	 
USER	Crear datos	END	1679723786580
USER	Crear datos	END	1679723786580
REQUEST		Create	1679723784720	1679723786646	OK	 
USER	Crear datos	END	1679723786646
REQUEST		Create	1679723785692	1679723786654	OK	 
USER	Crear datos	END	1679723786655
REQUEST		Create	1679723785024	1679723786668	OK	 
USER	Crear datos	END	1679723786669
REQUEST		Create	1679723786035	1679723786678	OK	 
USER	Crear datos	END	1679723786679
REQUEST		Create	1679723785384	1679723786679	OK	 
USER	Crear datos	END	1679723786679
REQUEST		Create	1679723783369	1679723786684	OK	 
USER	Crear datos	END	1679723786685
USER	Actualizar datos	START	1679723786703
USER	Borrar datos	START	1679723786703
USER	Obtener datos	START	1679723786715
REQUEST		Create	1679723783049	1679723786719	OK	 
USER	Crear datos	END	1679723786720
USER	Crear datos	START	1679723786722
REQUEST		Create	1679723783716	1679723786737	OK	 
REQUEST		Delete	1679723786365	1679723786737	OK	 
USER	Crear datos	END	1679723786738
USER	Borrar datos	END	1679723786738
REQUEST		Create	1679723786372	1679723786741	OK	 
REQUEST		Select	1679723786491	1679723786743	OK	 
USER	Crear datos	END	1679723786744
USER	Obtener datos	END	1679723786744
USER	Obtener datos	START	1679723786895
USER	Crear datos	START	1679723787024
USER	Borrar datos	START	1679723787024
REQUEST		Delete	1679723786702	1679723787067	OK	 
USER	Borrar datos	END	1679723787067
REQUEST		Create	1679723786721	1679723787082	OK	 
USER	Crear datos	END	1679723787083
USER	Obtener datos	START	1679723787102
REQUEST		Select	1679723786713	1679723787133	OK	 
USER	Obtener datos	END	1679723787134
USER	Obtener datos	START	1679723787322
USER	Crear datos	START	1679723787374
USER	Borrar datos	START	1679723787378
REQUEST		Select	1679723786894	1679723787454	OK	 
USER	Obtener datos	END	1679723787455
USER	Obtener datos	START	1679723787502
REQUEST		Delete	1679723787023	1679723787678	OK	 
USER	Borrar datos	END	1679723787679
USER	Actualizar datos	START	1679723787711
USER	Borrar datos	START	1679723787712
USER	Crear datos	START	1679723787714
USER	Obtener datos	START	1679723787721
