RUN	testDataset	testdataset	1679721726876	 	3.9.2
USER	Obtener datos	START	1679721728084
USER	Borrar datos	START	1679721728084
USER	Actualizar datos	START	1679721728084
USER	Crear datos	START	1679721728084
REQUEST		Delete	1679721728082	1679721728240	OK	 
REQUEST		Select	1679721728082	1679721728239	OK	 
REQUEST		Update	1679721728082	1679721728244	OK	 
USER	Actualizar datos	END	1679721728263
USER	Obtener datos	END	1679721728263
USER	Borrar datos	END	1679721728263
REQUEST		Create	1679721728082	1679721728353	OK	 
USER	Crear datos	END	1679721728356
USER	Obtener datos	START	1679721729033
USER	Borrar datos	START	1679721729033
USER	Actualizar datos	START	1679721729035
USER	Crear datos	START	1679721729037
REQUEST		Update	1679721729033	1679721729097	OK	 
USER	Actualizar datos	END	1679721729098
REQUEST		Delete	1679721729031	1679721729099	OK	 
USER	Borrar datos	END	1679721729100
REQUEST		Select	1679721729031	1679721729099	OK	 
USER	Obtener datos	END	1679721729100
REQUEST		Create	1679721729036	1679721729107	OK	 
USER	Crear datos	END	1679721729107
USER	Obtener datos	START	1679721730021
USER	Borrar datos	START	1679721730031
USER	Actualizar datos	START	1679721730031
USER	Crear datos	START	1679721730032
REQUEST		Create	1679721730030	1679721730075	OK	 
USER	Crear datos	END	1679721730076
REQUEST		Select	1679721730020	1679721730082	OK	 
USER	Obtener datos	END	1679721730083
REQUEST		Update	1679721730030	1679721730098	OK	 
USER	Actualizar datos	END	1679721730099
REQUEST		Delete	1679721730030	1679721730100	OK	 
USER	Borrar datos	END	1679721730100
USER	Obtener datos	START	1679721731021
USER	Borrar datos	START	1679721731021
USER	Actualizar datos	START	1679721731021
USER	Crear datos	START	1679721731023
REQUEST		Update	1679721731021	1679721731068	OK	 
USER	Actualizar datos	END	1679721731070
REQUEST		Create	1679721731023	1679721731082	OK	 
USER	Crear datos	END	1679721731082
REQUEST		Select	1679721731021	1679721731083	OK	 
USER	Obtener datos	END	1679721731083
REQUEST		Delete	1679721731021	1679721731090	OK	 
USER	Borrar datos	END	1679721731091
USER	Crear datos	START	1679721732032
USER	Obtener datos	START	1679721732032
USER	Borrar datos	START	1679721732032
USER	Actualizar datos	START	1679721732033
REQUEST		Select	1679721732031	1679721732070	OK	 
USER	Obtener datos	END	1679721732071
REQUEST		Create	1679721732031	1679721732074	OK	 
USER	Crear datos	END	1679721732074
REQUEST		Update	1679721732033	1679721732075	OK	 
USER	Actualizar datos	END	1679721732076
REQUEST		Delete	1679721732031	1679721732084	OK	 
USER	Borrar datos	END	1679721732084
USER	Actualizar datos	START	1679721733026
USER	Obtener datos	START	1679721733026
USER	Crear datos	START	1679721733027
USER	Borrar datos	START	1679721733028
REQUEST		Select	1679721733026	1679721733074	OK	 
USER	Obtener datos	END	1679721733075
REQUEST		Create	1679721733026	1679721733077	OK	 
REQUEST		Update	1679721733026	1679721733077	OK	 
USER	Actualizar datos	END	1679721733077
USER	Crear datos	END	1679721733077
REQUEST		Delete	1679721733026	1679721733082	OK	 
USER	Borrar datos	END	1679721733083
USER	Borrar datos	START	1679721734023
USER	Crear datos	START	1679721734025
USER	Actualizar datos	START	1679721734026
USER	Obtener datos	START	1679721734027
REQUEST		Create	1679721734024	1679721734098	OK	 
USER	Crear datos	END	1679721734099
REQUEST		Select	1679721734027	1679721734114	OK	 
USER	Obtener datos	END	1679721734115
REQUEST		Delete	1679721734022	1679721734118	OK	 
USER	Borrar datos	END	1679721734119
REQUEST		Update	1679721734025	1679721734125	OK	 
USER	Actualizar datos	END	1679721734125
USER	Actualizar datos	START	1679721735033
USER	Crear datos	START	1679721735033
USER	Obtener datos	START	1679721735033
USER	Borrar datos	START	1679721735034
REQUEST		Select	1679721735033	1679721735075	OK	 
USER	Obtener datos	END	1679721735075
REQUEST		Create	1679721735033	1679721735081	OK	 
USER	Crear datos	END	1679721735082
REQUEST		Update	1679721735033	1679721735087	OK	 
USER	Actualizar datos	END	1679721735087
REQUEST		Delete	1679721735034	1679721735088	OK	 
USER	Borrar datos	END	1679721735088
USER	Actualizar datos	START	1679721736028
USER	Obtener datos	START	1679721736028
USER	Borrar datos	START	1679721736028
USER	Crear datos	START	1679721736033
REQUEST		Create	1679721736032	1679721736068	OK	 
