RUN	testDataset	testdataset	1679110240930	 	3.9.2
USER	Obtener datos	START	1679110242666
USER	Obtener datos	START	1679110242666
USER	Crear datos	START	1679110242666
USER	Borrar datos	START	1679110242666
USER	Actualizar datos	START	1679110242675
REQUEST		Create	1679110242662	1679110242706	OK	 
REQUEST		Select	1679110242662	1679110242698	OK	 
REQUEST		Select	1679110242664	1679110242693	OK	 
REQUEST		Delete	1679110242662	1679110242698	OK	 
USER	Obtener datos	END	1679110242750
USER	Crear datos	END	1679110242751
USER	Borrar datos	END	1679110242751
USER	Obtener datos	END	1679110242751
REQUEST		Update	1679110242670	1679110242754	OK	 
USER	Actualizar datos	END	1679110242755
USER	Obtener datos	START	1679110242759
USER	Borrar datos	START	1679110242758
USER	Crear datos	START	1679110242759
REQUEST		Delete	1679110242757	1679110242773	OK	 
USER	Borrar datos	END	1679110242774
REQUEST		Create	1679110242757	1679110242774	OK	 
USER	Crear datos	END	1679110242775
REQUEST		Select	1679110242757	1679110242778	OK	 
USER	Obtener datos	END	1679110242779
USER	Obtener datos	START	1679110242868
REQUEST		Select	1679110242866	1679110242876	OK	 
USER	Obtener datos	END	1679110242877
USER	Crear datos	START	1679110242959
USER	Borrar datos	START	1679110242959
USER	Obtener datos	START	1679110242963
REQUEST		Create	1679110242958	1679110242972	OK	 
USER	Crear datos	END	1679110242975
REQUEST		Select	1679110242958	1679110242978	OK	 
USER	Obtener datos	END	1679110242980
REQUEST		Delete	1679110242958	1679110242985	OK	 
USER	Borrar datos	END	1679110242986
USER	Obtener datos	START	1679110243053
USER	Actualizar datos	START	1679110243053
REQUEST		Select	1679110243052	1679110243064	OK	 
USER	Obtener datos	END	1679110243065
REQUEST		Update	1679110243052	1679110243064	OK	 
USER	Actualizar datos	END	1679110243065
USER	Obtener datos	START	1679110243162
USER	Crear datos	START	1679110243163
USER	Borrar datos	START	1679110243163
REQUEST		Select	1679110243160	1679110243180	OK	 
USER	Obtener datos	END	1679110243182
REQUEST		Delete	1679110243161	1679110243183	OK	 
USER	Borrar datos	END	1679110243185
REQUEST		Create	1679110243161	1679110243188	OK	 
USER	Crear datos	END	1679110243189
USER	Obtener datos	START	1679110243255
REQUEST		Select	1679110243253	1679110243266	OK	 
USER	Obtener datos	END	1679110243267
USER	Obtener datos	START	1679110243365
USER	Borrar datos	START	1679110243365
USER	Crear datos	START	1679110243366
