RUN	testDataset	testdataset	1679720037104	 	3.9.2
USER	Obtener datos	START	1679720038318
USER	Borrar datos	START	1679720038318
USER	Actualizar datos	START	1679720038318
USER	Crear datos	START	1679720038320
USER	Obtener datos	START	1679720038362
USER	Obtener datos	START	1679720038451
USER	Borrar datos	START	1679720038454
USER	Crear datos	START	1679720038456
REQUEST		Select	1679720038316	1679720038455	OK	 
USER	Obtener datos	END	1679720038471
REQUEST		Select	1679720038361	1679720038476	OK	 
USER	Obtener datos	END	1679720038477
REQUEST		Delete	1679720038316	1679720038488	OK	 
USER	Borrar datos	END	1679720038489
REQUEST		Update	1679720038316	1679720038493	OK	 
USER	Actualizar datos	END	1679720038494
REQUEST		Select	1679720038451	1679720038538	OK	 
REQUEST		Delete	1679720038453	1679720038539	OK	 
USER	Obtener datos	END	1679720038539
USER	Borrar datos	END	1679720038539
USER	Obtener datos	START	1679720038561
REQUEST		Select	1679720038560	1679720038599	OK	 
USER	Obtener datos	END	1679720038600
USER	Borrar datos	START	1679720038655
USER	Obtener datos	START	1679720038656
REQUEST		Create	1679720038453	1679720038660	OK	 
USER	Crear datos	END	1679720038660
USER	Crear datos	START	1679720038670
REQUEST		Create	1679720038316	1679720038674	OK	 
USER	Crear datos	END	1679720038674
REQUEST		Delete	1679720038654	1679720038694	OK	 
USER	Borrar datos	END	1679720038695
REQUEST		Select	1679720038656	1679720038706	OK	 
USER	Obtener datos	END	1679720038706
REQUEST		Create	1679720038669	1679720038712	OK	 
USER	Crear datos	END	1679720038713
USER	Obtener datos	START	1679720038762
USER	Actualizar datos	START	1679720038762
REQUEST		Update	1679720038762	1679720038784	OK	 
USER	Actualizar datos	END	1679720038784
REQUEST		Select	1679720038762	1679720038790	OK	 
USER	Obtener datos	END	1679720038791
USER	Borrar datos	START	1679720038855
USER	Obtener datos	START	1679720038855
USER	Crear datos	START	1679720038870
REQUEST		Delete	1679720038855	1679720038885	OK	 
USER	Borrar datos	END	1679720038885
REQUEST		Select	1679720038855	1679720038889	OK	 
USER	Obtener datos	END	1679720038890
REQUEST		Create	1679720038870	1679720038904	OK	 
USER	Crear datos	END	1679720038905
USER	Obtener datos	START	1679720038962
REQUEST		Select	1679720038962	1679720038988	OK	 
USER	Obtener datos	END	1679720038988
USER	Borrar datos	START	1679720039057
USER	Obtener datos	START	1679720039058
USER	Crear datos	START	1679720039073
REQUEST		Create	1679720039071	1679720039124	OK	 
REQUEST		Delete	1679720039055	1679720039124	OK	 
USER	Borrar datos	END	1679720039125
USER	Crear datos	END	1679720039125
REQUEST		Select	1679720039056	1679720039131	OK	 
USER	Obtener datos	END	1679720039131
USER	Obtener datos	START	1679720039160
REQUEST		Select	1679720039160	1679720039181	OK	 
USER	Obtener datos	END	1679720039181
USER	Obtener datos	START	1679720039252
USER	Borrar datos	START	1679720039252
USER	Actualizar datos	START	1679720039252
USER	Crear datos	START	1679720039268
REQUEST		Select	1679720039252	1679720039281	OK	 
USER	Obtener datos	END	1679720039282
REQUEST		Update	1679720039252	1679720039284	OK	 
