RUN	testDataset	testdataset	1679723778982	 	3.9.2
USER	Crear datos	START	1679723780253
USER	Actualizar datos	START	1679723780253
USER	Borrar datos	START	1679723780253
USER	Obtener datos	START	1679723780255
USER	Obtener datos	START	1679723780346
REQUEST		Delete	1679723780251	1679723780453	OK	 
REQUEST		Select	1679723780251	1679723780452	OK	 
REQUEST		Select	1679723780345	1679723780438	OK	 
USER	Borrar datos	END	1679723780460
USER	Obtener datos	END	1679723780461
USER	Obtener datos	END	1679723780461
REQUEST		Update	1679723780251	1679723780462	OK	 
USER	Actualizar datos	END	1679723780462
USER	Borrar datos	START	1679723780513
USER	Crear datos	START	1679723780528
USER	Obtener datos	START	1679723780530
REQUEST		Create	1679723780251	1679723780533	OK	 
USER	Crear datos	END	1679723780534
REQUEST		Delete	1679723780512	1679723780546	OK	 
USER	Borrar datos	END	1679723780547
REQUEST		Select	1679723780529	1679723780616	OK	 
USER	Obtener datos	END	1679723780616
REQUEST		Create	1679723780527	1679723780623	OK	 
USER	Crear datos	END	1679723780624
USER	Obtener datos	START	1679723780682
REQUEST		Select	1679723780681	1679723780708	OK	 
USER	Obtener datos	END	1679723780708
USER	Obtener datos	START	1679723780853
USER	Borrar datos	START	1679723780853
USER	Crear datos	START	1679723780855
REQUEST		Delete	1679723780852	1679723780911	OK	 
USER	Borrar datos	END	1679723780912
REQUEST		Select	1679723780852	1679723780913	OK	 
USER	Obtener datos	END	1679723780913
REQUEST		Create	1679723780852	1679723780923	OK	 
USER	Crear datos	END	1679723780923
USER	Obtener datos	START	1679723781024
REQUEST		Select	1679723781023	1679723781051	OK	 
USER	Obtener datos	END	1679723781052
USER	Borrar datos	START	1679723781193
USER	Actualizar datos	START	1679723781193
USER	Obtener datos	START	1679723781193
USER	Crear datos	START	1679723781195
REQUEST		Delete	1679723781193	1679723781234	OK	 
USER	Borrar datos	END	1679723781235
REQUEST		Create	1679723781195	1679723781238	OK	 
USER	Crear datos	END	1679723781239
REQUEST		Update	1679723781193	1679723781240	OK	 
REQUEST		Select	1679723781193	1679723781240	OK	 
USER	Actualizar datos	END	1679723781241
USER	Obtener datos	END	1679723781241
USER	Obtener datos	START	1679723781349
REQUEST		Select	1679723781349	1679723781403	OK	 
USER	Obtener datos	END	1679723781404
USER	Borrar datos	START	1679723781520
USER	Crear datos	START	1679723781521
USER	Obtener datos	START	1679723781522
REQUEST		Create	1679723781520	1679723781574	OK	 
USER	Crear datos	END	1679723781575
REQUEST		Select	1679723781521	1679723781584	OK	 
USER	Obtener datos	END	1679723781585
REQUEST		Delete	1679723781520	1679723781597	OK	 
USER	Borrar datos	END	1679723781598
USER	Obtener datos	START	1679723781692
REQUEST		Select	1679723781691	1679723781726	OK	 
USER	Obtener datos	END	1679723781727
USER	Borrar datos	START	1679723781847
