RUN	testDataset	testdataset	1679723536871	 	3.9.2
USER	Borrar datos	START	1679723538777
USER	Actualizar datos	START	1679723538777
USER	Obtener datos	START	1679723538777
USER	Crear datos	START	1679723538776
REQUEST		Select	1679723538770	1679723538818	OK	 
REQUEST		Delete	1679723538770	1679723538818	OK	 
REQUEST		Update	1679723538770	1679723538818	OK	 
REQUEST		Create	1679723538771	1679723538849	OK	 
USER	Borrar datos	END	1679723538874
USER	Actualizar datos	END	1679723538874
USER	Crear datos	END	1679723538874
USER	Obtener datos	END	1679723538874
USER	Obtener datos	START	1679723538881
REQUEST		Select	1679723538878	1679723538891	OK	 
USER	Obtener datos	END	1679723538892
USER	Borrar datos	START	1679723539016
USER	Crear datos	START	1679723539019
REQUEST		Delete	1679723539014	1679723539034	OK	 
USER	Borrar datos	END	1679723539035
REQUEST		Create	1679723539017	1679723539042	OK	 
USER	Crear datos	END	1679723539043
USER	Obtener datos	START	1679723539088
REQUEST		Select	1679723539087	1679723539096	OK	 
USER	Obtener datos	END	1679723539096
USER	Obtener datos	START	1679723539279
REQUEST		Select	1679723539278	1679723539289	OK	 
USER	Obtener datos	END	1679723539290
USER	Borrar datos	START	1679723539345
USER	Crear datos	START	1679723539360
REQUEST		Delete	1679723539344	1679723539360	OK	 
USER	Borrar datos	END	1679723539361
REQUEST		Create	1679723539360	1679723539374	OK	 
USER	Crear datos	END	1679723539375
USER	Obtener datos	START	1679723539492
REQUEST		Select	1679723539491	1679723539500	OK	 
USER	Obtener datos	END	1679723539500
USER	Borrar datos	START	1679723539692
USER	Actualizar datos	START	1679723539692
USER	Crear datos	START	1679723539694
USER	Obtener datos	START	1679723539696
REQUEST		Select	1679723539695	1679723539712	OK	 
USER	Obtener datos	END	1679723539712
REQUEST		Update	1679723539691	1679723539720	OK	 
USER	Actualizar datos	END	1679723539721
REQUEST		Create	1679723539693	1679723539725	OK	 
USER	Crear datos	END	1679723539726
REQUEST		Delete	1679723539691	1679723539732	OK	 
USER	Borrar datos	END	1679723539733
USER	Obtener datos	START	1679723539889
REQUEST		Select	1679723539888	1679723539898	OK	 
USER	Obtener datos	END	1679723539898
USER	Crear datos	START	1679723540022
USER	Borrar datos	START	1679723540022
