RUN	testDataset	testdataset	1679727283730	 	3.9.2
USER	Obtener datos	START	1679727286348
USER	Borrar datos	START	1679727286348
USER	Obtener datos	START	1679727286356
USER	Crear datos	START	1679727286356
USER	Actualizar datos	START	1679727286361
USER	Borrar datos	START	1679727286428
USER	Obtener datos	START	1679727286452
USER	Crear datos	START	1679727286463
USER	Obtener datos	START	1679727286532
REQUEST		Delete	1679727286343	1679727286556	OK	 
USER	Borrar datos	END	1679727286587
USER	Obtener datos	START	1679727286627
USER	Borrar datos	START	1679727286628
USER	Crear datos	START	1679727286648
REQUEST		Select	1679727286343	1679727286672	OK	 
USER	Obtener datos	END	1679727286674
REQUEST		Delete	1679727286427	1679727286678	OK	 
USER	Borrar datos	END	1679727286686
REQUEST		Select	1679727286451	1679727286693	OK	 
USER	Obtener datos	END	1679727286694
REQUEST		Select	1679727286352	1679727286712	OK	 
REQUEST		Update	1679727286359	1679727286713	OK	 
REQUEST		Select	1679727286529	1679727286714	OK	 
USER	Actualizar datos	END	1679727286716
USER	Obtener datos	END	1679727286717
USER	Obtener datos	END	1679727286717
USER	Obtener datos	START	1679727286728
USER	Actualizar datos	START	1679727286732
USER	Obtener datos	START	1679727286832
USER	Borrar datos	START	1679727286835
REQUEST		Delete	1679727286626	1679727286840	OK	 
REQUEST		Create	1679727286350	1679727286840	OK	 
USER	Borrar datos	END	1679727286841
USER	Crear datos	END	1679727286841
REQUEST		Select	1679727286626	1679727286843	OK	 
USER	Obtener datos	END	1679727286844
USER	Crear datos	START	1679727286862
USER	Obtener datos	START	1679727286928
REQUEST		Select	1679727286831	1679727286951	OK	 
USER	Obtener datos	END	1679727286952
REQUEST		Select	1679727286727	1679727286959	OK	 
USER	Obtener datos	END	1679727286960
REQUEST		Select	1679727286927	1679727286975	OK	 
USER	Obtener datos	END	1679727286975
REQUEST		Create	1679727286457	1679727287023	OK	 
USER	Crear datos	END	1679727287024
USER	Obtener datos	START	1679727287028
USER	Borrar datos	START	1679727287029
REQUEST		Update	1679727286731	1679727287036	OK	 
USER	Actualizar datos	END	1679727287038
REQUEST		Create	1679727286646	1679727287045	OK	 
USER	Crear datos	END	1679727287046
USER	Crear datos	START	1679727287048
REQUEST		Delete	1679727286830	1679727287101	OK	 
REQUEST		Create	1679727286849	1679727287102	OK	 
USER	Crear datos	END	1679727287102
USER	Borrar datos	END	1679727287102
USER	Obtener datos	START	1679727287129
REQUEST		Select	1679727287027	1679727287149	OK	 
USER	Obtener datos	END	1679727287150
REQUEST		Delete	1679727287027	1679727287167	OK	 
USER	Borrar datos	END	1679727287167
REQUEST		Select	1679727287129	1679727287183	OK	 
USER	Obtener datos	END	1679727287184
USER	Obtener datos	START	1679727287230
USER	Actualizar datos	START	1679727287232
USER	Borrar datos	START	1679727287247
USER	Crear datos	START	1679727287249
REQUEST		Create	1679727287046	1679727287257	OK	 
USER	Crear datos	END	1679727287257
REQUEST		Select	1679727287229	1679727287297	OK	 
USER	Obtener datos	END	1679727287298
USER	Obtener datos	START	1679727287328
REQUEST		Update	1679727287229	1679727287379	OK	 
USER	Actualizar datos	END	1679727287380
REQUEST		Select	1679727287327	1679727287385	OK	 
USER	Obtener datos	END	1679727287386
REQUEST		Delete	1679727287246	1679727287387	OK	 
USER	Borrar datos	END	1679727287388
REQUEST		Create	1679727287247	1679727287393	OK	 
USER	Crear datos	END	1679727287394
USER	Obtener datos	START	1679727287429
USER	Borrar datos	START	1679727287437
USER	Crear datos	START	1679727287448
REQUEST		Select	1679727287428	1679727287466	OK	 
USER	Obtener datos	END	1679727287467
REQUEST		Delete	1679727287436	1679727287476	OK	 
USER	Borrar datos	END	1679727287477
REQUEST		Create	1679727287448	1679727287485	OK	 
USER	Crear datos	END	1679727287486
USER	Obtener datos	START	1679727287530
REQUEST		Select	1679727287529	1679727287556	OK	 
USER	Obtener datos	END	1679727287557
USER	Borrar datos	START	1679727287627
USER	Obtener datos	START	1679727287629
REQUEST		Select	1679727287628	1679727287646	OK	 
USER	Obtener datos	END	1679727287647
USER	Crear datos	START	1679727287648
REQUEST		Delete	1679727287626	1679727287663	OK	 
USER	Borrar datos	END	1679727287664
REQUEST		Create	1679727287648	1679727287675	OK	 
USER	Crear datos	END	1679727287676
USER	Actualizar datos	START	1679727287727
USER	Obtener datos	START	1679727287731
REQUEST		Select	1679727287730	1679727287754	OK	 
USER	Obtener datos	END	1679727287754
REQUEST		Update	1679727287726	1679727287807	OK	 
USER	Actualizar datos	END	1679727287808
USER	Borrar datos	START	1679727287827
USER	Obtener datos	START	1679727287829
USER	Crear datos	START	1679727287851
REQUEST		Select	1679727287828	1679727287854	OK	 
USER	Obtener datos	END	1679727287855
REQUEST		Delete	1679727287826	1679727287879	OK	 
USER	Borrar datos	END	1679727287880
REQUEST		Create	1679727287850	1679727287898	OK	 
USER	Crear datos	END	1679727287899
USER	Obtener datos	START	1679727287929
REQUEST		Select	1679727287928	1679727287940	OK	 
USER	Obtener datos	END	1679727287941
USER	Obtener datos	START	1679727288031
USER	Borrar datos	START	1679727288039
USER	Crear datos	START	1679727288056
REQUEST		Select	1679727288029	1679727288079	OK	 
USER	Obtener datos	END	1679727288080
REQUEST		Delete	1679727288034	1679727288116	OK	 
USER	Borrar datos	END	1679727288117
USER	Obtener datos	START	1679727288128
REQUEST		Create	1679727288054	1679727288200	OK	 
USER	Crear datos	END	1679727288201
REQUEST		Select	1679727288128	1679727288209	OK	 
USER	Obtener datos	END	1679727288210
USER	Borrar datos	START	1679727288230
USER	Obtener datos	START	1679727288233
USER	Actualizar datos	START	1679727288239
USER	Crear datos	START	1679727288251
REQUEST		Select	1679727288232	1679727288300	OK	 
USER	Obtener datos	END	1679727288300
REQUEST		Update	1679727288229	1679727288311	OK	 
USER	Actualizar datos	END	1679727288312
USER	Obtener datos	START	1679727288326
REQUEST		Create	1679727288250	1679727288339	OK	 
USER	Crear datos	END	1679727288340
REQUEST		Delete	1679727288229	1679727288361	OK	 
USER	Borrar datos	END	1679727288362
REQUEST		Select	1679727288325	1679727288375	OK	 
USER	Obtener datos	END	1679727288376
USER	Crear datos	START	1679727288425
USER	Obtener datos	START	1679727288425
USER	Borrar datos	START	1679727288427
REQUEST		Select	1679727288424	1679727288448	OK	 
USER	Obtener datos	END	1679727288449
REQUEST		Delete	1679727288426	1679727288461	OK	 
USER	Borrar datos	END	1679727288462
REQUEST		Create	1679727288424	1679727288466	OK	 
USER	Crear datos	END	1679727288467
USER	Obtener datos	START	1679727288526
REQUEST		Select	1679727288525	1679727288537	OK	 
USER	Obtener datos	END	1679727288537
USER	Obtener datos	START	1679727288626
USER	Borrar datos	START	1679727288627
USER	Crear datos	START	1679727288627
REQUEST		Select	1679727288625	1679727288642	OK	 
USER	Obtener datos	END	1679727288644
REQUEST		Delete	1679727288627	1679727288654	OK	 
USER	Borrar datos	END	1679727288655
REQUEST		Create	1679727288627	1679727288663	OK	 
USER	Crear datos	END	1679727288664
USER	Actualizar datos	START	1679727288726
USER	Obtener datos	START	1679727288727
REQUEST		Select	1679727288726	1679727288741	OK	 
USER	Obtener datos	END	1679727288742
REQUEST		Update	1679727288726	1679727288753	OK	 
USER	Actualizar datos	END	1679727288753
USER	Crear datos	START	1679727288826
USER	Borrar datos	START	1679727288826
USER	Obtener datos	START	1679727288826
REQUEST		Select	1679727288826	1679727288839	OK	 
USER	Obtener datos	END	1679727288840
REQUEST		Create	1679727288826	1679727288848	OK	 
USER	Crear datos	END	1679727288848
REQUEST		Delete	1679727288826	1679727288853	OK	 
USER	Borrar datos	END	1679727288854
USER	Obtener datos	START	1679727288928
REQUEST		Select	1679727288927	1679727288938	OK	 
USER	Obtener datos	END	1679727288939
USER	Crear datos	START	1679727289025
USER	Borrar datos	START	1679727289030
USER	Obtener datos	START	1679727289030
REQUEST		Select	1679727289030	1679727289046	OK	 
USER	Obtener datos	END	1679727289047
REQUEST		Create	1679727289025	1679727289054	OK	 
USER	Crear datos	END	1679727289055
REQUEST		Delete	1679727289030	1679727289062	OK	 
USER	Borrar datos	END	1679727289063
USER	Obtener datos	START	1679727289128
REQUEST		Select	1679727289127	1679727289138	OK	 
USER	Obtener datos	END	1679727289138
USER	Obtener datos	START	1679727289226
USER	Actualizar datos	START	1679727289226
USER	Crear datos	START	1679727289226
USER	Borrar datos	START	1679727289229
REQUEST		Select	1679727289225	1679727289245	OK	 
USER	Obtener datos	END	1679727289245
REQUEST		Create	1679727289225	1679727289254	OK	 
USER	Crear datos	END	1679727289254
REQUEST		Update	1679727289225	1679727289261	OK	 
REQUEST		Delete	1679727289228	1679727289261	OK	 
USER	Borrar datos	END	1679727289261
USER	Actualizar datos	END	1679727289261
USER	Obtener datos	START	1679727289326
REQUEST		Select	1679727289325	1679727289337	OK	 
USER	Obtener datos	END	1679727289337
USER	Crear datos	START	1679727289426
USER	Borrar datos	START	1679727289426
USER	Obtener datos	START	1679727289427
REQUEST		Select	1679727289427	1679727289441	OK	 
USER	Obtener datos	END	1679727289442
REQUEST		Delete	1679727289425	1679727289453	OK	 
USER	Borrar datos	END	1679727289454
REQUEST		Create	1679727289425	1679727289462	OK	 
USER	Crear datos	END	1679727289463
USER	Obtener datos	START	1679727289526
REQUEST		Select	1679727289525	1679727289536	OK	 
USER	Obtener datos	END	1679727289536
USER	Borrar datos	START	1679727289625
USER	Crear datos	START	1679727289627
USER	Obtener datos	START	1679727289631
REQUEST		Select	1679727289629	1679727289650	OK	 
USER	Obtener datos	END	1679727289651
REQUEST		Create	1679727289626	1679727289683	OK	 
USER	Crear datos	END	1679727289684
REQUEST		Delete	1679727289624	1679727289692	OK	 
USER	Borrar datos	END	1679727289693
USER	Obtener datos	START	1679727289727
USER	Actualizar datos	START	1679727289730
REQUEST		Select	1679727289726	1679727289756	OK	 
USER	Obtener datos	END	1679727289757
REQUEST		Update	1679727289729	1679727289770	OK	 
USER	Actualizar datos	END	1679727289770
USER	Crear datos	START	1679727289827
USER	Borrar datos	START	1679727289827
USER	Obtener datos	START	1679727289831
REQUEST		Select	1679727289830	1679727289848	OK	 
USER	Obtener datos	END	1679727289848
REQUEST		Delete	1679727289826	1679727289857	OK	 
USER	Borrar datos	END	1679727289857
REQUEST		Create	1679727289826	1679727289867	OK	 
USER	Crear datos	END	1679727289867
USER	Obtener datos	START	1679727289928
REQUEST		Select	1679727289928	1679727289943	OK	 
USER	Obtener datos	END	1679727289944
USER	Crear datos	START	1679727290026
USER	Obtener datos	START	1679727290026
USER	Borrar datos	START	1679727290026
REQUEST		Select	1679727290026	1679727290040	OK	 
USER	Obtener datos	END	1679727290041
REQUEST		Delete	1679727290026	1679727290049	OK	 
USER	Borrar datos	END	1679727290050
REQUEST		Create	1679727290026	1679727290054	OK	 
USER	Crear datos	END	1679727290055
USER	Obtener datos	START	1679727290129
REQUEST		Select	1679727290128	1679727290138	OK	 
USER	Obtener datos	END	1679727290139
USER	Actualizar datos	START	1679727290226
USER	Borrar datos	START	1679727290228
USER	Crear datos	START	1679727290228
USER	Obtener datos	START	1679727290228
REQUEST		Select	1679727290228	1679727290246	OK	 
USER	Obtener datos	END	1679727290247
REQUEST		Create	1679727290228	1679727290255	OK	 
USER	Crear datos	END	1679727290255
REQUEST		Delete	1679727290228	1679727290269	OK	 
REQUEST		Update	1679727290225	1679727290269	OK	 
USER	Borrar datos	END	1679727290269
USER	Actualizar datos	END	1679727290269
USER	Obtener datos	START	1679727290326
REQUEST		Select	1679727290325	1679727290334	OK	 
USER	Obtener datos	END	1679727290335
USER	Borrar datos	START	1679727290425
USER	Obtener datos	START	1679727290425
USER	Crear datos	START	1679727290426
REQUEST		Select	1679727290424	1679727290441	OK	 
USER	Obtener datos	END	1679727290442
REQUEST		Create	1679727290424	1679727290446	OK	 
USER	Crear datos	END	1679727290447
REQUEST		Delete	1679727290424	1679727290453	OK	 
USER	Borrar datos	END	1679727290453
USER	Obtener datos	START	1679727290527
REQUEST		Select	1679727290526	1679727290536	OK	 
USER	Obtener datos	END	1679727290536
USER	Obtener datos	START	1679727290625
USER	Crear datos	START	1679727290625
USER	Borrar datos	START	1679727290625
REQUEST		Select	1679727290625	1679727290638	OK	 
USER	Obtener datos	END	1679727290638
REQUEST		Create	1679727290625	1679727290644	OK	 
USER	Crear datos	END	1679727290645
REQUEST		Delete	1679727290625	1679727290648	OK	 
USER	Borrar datos	END	1679727290649
USER	Obtener datos	START	1679727290725
USER	Actualizar datos	START	1679727290725
REQUEST		Select	1679727290725	1679727290736	OK	 
USER	Obtener datos	END	1679727290737
REQUEST		Update	1679727290725	1679727290742	OK	 
USER	Actualizar datos	END	1679727290742
USER	Crear datos	START	1679727290825
USER	Obtener datos	START	1679727290827
USER	Borrar datos	START	1679727290827
REQUEST		Select	1679727290826	1679727290843	OK	 
USER	Obtener datos	END	1679727290844
REQUEST		Delete	1679727290826	1679727290851	OK	 
