RUN	testDataset	testdataset	1679601878151	 	3.9.2
USER	Crear datos	START	1679601880825
USER	Obtener datos	START	1679601880825
USER	Actualizar datos	START	1679601880830
USER	Obtener datos	START	1679601880825
USER	Borrar datos	START	1679601880826
USER	Borrar datos	START	1679601880852
USER	Crear datos	START	1679601880878
USER	Obtener datos	START	1679601880890
USER	Obtener datos	START	1679601880954
USER	Borrar datos	START	1679601881042
USER	Obtener datos	START	1679601881043
USER	Crear datos	START	1679601881056
USER	Actualizar datos	START	1679601881152
REQUEST		Select	1679601880861	1679601881088	OK	 
REQUEST		Select	1679601880815	1679601881088	OK	 
REQUEST		Delete	1679601880815	1679601881089	OK	 
REQUEST		Select	1679601880816	1679601881093	OK	 
REQUEST		Create	1679601880872	1679601881186	OK	 
REQUEST		Update	1679601880828	1679601881088	OK	 
REQUEST		Select	1679601880947	1679601881088	OK	 
REQUEST		Select	1679601881042	1679601881186	OK	 
REQUEST		Delete	1679601880841	1679601881088	OK	 
USER	Crear datos	END	1679601881236
USER	Obtener datos	END	1679601881240
USER	Obtener datos	START	1679601881240
USER	Obtener datos	START	1679601881240
USER	Actualizar datos	END	1679601881241
USER	Obtener datos	END	1679601881241
USER	Borrar datos	END	1679601881241
USER	Obtener datos	END	1679601881242
REQUEST		Create	1679601880815	1679601881242	OK	 
USER	Crear datos	END	1679601881243
USER	Obtener datos	END	1679601881246
USER	Crear datos	START	1679601881251
USER	Obtener datos	END	1679601881251
USER	Borrar datos	END	1679601881251
USER	Borrar datos	START	1679601881267
REQUEST		Create	1679601881053	1679601881286	OK	 
USER	Crear datos	END	1679601881288
REQUEST		Delete	1679601881038	1679601881302	OK	 
USER	Borrar datos	END	1679601881305
REQUEST		Select	1679601881240	1679601881315	OK	 
USER	Obtener datos	END	1679601881316
USER	Obtener datos	START	1679601881346
REQUEST		Update	1679601881143	1679601881359	OK	 
USER	Actualizar datos	END	1679601881361
REQUEST		Create	1679601881249	1679601881364	OK	 
USER	Crear datos	END	1679601881366
REQUEST		Select	1679601881240	1679601881366	OK	 
USER	Obtener datos	END	1679601881367
REQUEST		Delete	1679601881261	1679601881408	OK	 
USER	Borrar datos	END	1679601881409
REQUEST		Select	1679601881343	1679601881420	OK	 
USER	Obtener datos	END	1679601881422
USER	Borrar datos	START	1679601881441
USER	Obtener datos	START	1679601881442
USER	Crear datos	START	1679601881453
REQUEST		Select	1679601881441	1679601881489	OK	 
USER	Obtener datos	END	1679601881492
REQUEST		Delete	1679601881439	1679601881506	OK	 
USER	Borrar datos	END	1679601881508
USER	Obtener datos	START	1679601881546
