RUN	testDataset	testdataset	1679712715948	 	3.9.2
USER	Crear datos	START	1679712719533
USER	Obtener datos	START	1679712719535
USER	Borrar datos	START	1679712719539
USER	Crear datos	START	1679712719539
USER	Borrar datos	START	1679712719539
USER	Obtener datos	START	1679712719539
USER	Obtener datos	START	1679712719543
USER	Actualizar datos	START	1679712719545
USER	Obtener datos	START	1679712719550
USER	Obtener datos	START	1679712719586
USER	Borrar datos	START	1679712719586
USER	Crear datos	START	1679712719598
USER	Actualizar datos	START	1679712719681
USER	Obtener datos	START	1679712719703
USER	Borrar datos	START	1679712719792
USER	Obtener datos	START	1679712719801
USER	Crear datos	START	1679712719833
USER	Obtener datos	START	1679712719883
USER	Borrar datos	START	1679712719987
USER	Obtener datos	START	1679712720106
USER	Obtener datos	START	1679712720124
USER	Crear datos	START	1679712720129
USER	Actualizar datos	START	1679712720199
USER	Borrar datos	START	1679712720210
REQUEST		Select	1679712719517	1679712720162	OK	 
REQUEST		Select	1679712719515	1679712720166	OK	 
REQUEST		Select	1679712719515	1679712720162	OK	 
REQUEST		Delete	1679712719515	1679712720167	OK	 
USER	Obtener datos	START	1679712720273
USER	Obtener datos	END	1679712720274
USER	Borrar datos	END	1679712720274
USER	Obtener datos	END	1679712720274
USER	Obtener datos	END	1679712720275
REQUEST		Create	1679712719516	1679712720275	OK	 
USER	Crear datos	END	1679712720276
USER	Crear datos	START	1679712720277
USER	Obtener datos	START	1679712720280
REQUEST		Delete	1679712719516	1679712720353	OK	 
USER	Borrar datos	END	1679712720356
REQUEST		Create	1679712719592	1679712720364	OK	 
USER	Crear datos	END	1679712720372
REQUEST		Create	1679712719516	1679712720374	OK	 
USER	Crear datos	END	1679712720376
REQUEST		Select	1679712719525	1679712720386	OK	 
USER	Obtener datos	END	1679712720389
USER	Crear datos	START	1679712720401
USER	Borrar datos	START	1679712720407
USER	Obtener datos	START	1679712720419
REQUEST		Select	1679712719701	1679712720432	OK	 
USER	Obtener datos	END	1679712720433
REQUEST		Select	1679712719584	1679712720458	OK	 
USER	Obtener datos	END	1679712720460
REQUEST		Update	1679712719541	1679712720459	OK	 
USER	Actualizar datos	END	1679712720461
USER	Obtener datos	START	1679712720499
REQUEST		Select	1679712719800	1679712720580	OK	 
REQUEST		Delete	1679712719579	1679712720580	OK	 
USER	Obtener datos	END	1679712720581
USER	Borrar datos	END	1679712720581
USER	Borrar datos	START	1679712720590
USER	Obtener datos	START	1679712720590
USER	Crear datos	START	1679712720604
USER	Actualizar datos	START	1679712720689
USER	Obtener datos	START	1679712720691
REQUEST		Update	1679712719680	1679712720758	OK	 
USER	Actualizar datos	END	1679712720759
USER	Borrar datos	START	1679712720802
USER	Obtener datos	START	1679712720804
REQUEST		Create	1679712719817	1679712720819	OK	 
USER	Crear datos	END	1679712720821
USER	Crear datos	START	1679712720832
REQUEST		Delete	1679712719781	1679712720837	OK	 
USER	Borrar datos	END	1679712720839
REQUEST		Select	1679712719882	1679712720839	OK	 
USER	Obtener datos	END	1679712720840
REQUEST		Select	1679712720105	1679712720889	OK	 
USER	Obtener datos	END	1679712720891
REQUEST		Delete	1679712719985	1679712720891	OK	 
USER	Borrar datos	END	1679712720892
REQUEST		Select	1679712720106	1679712720896	OK	 
USER	Obtener datos	END	1679712720897
REQUEST		Create	1679712720127	1679712720898	OK	 
USER	Crear datos	END	1679712720899
USER	Obtener datos	START	1679712720899
USER	Obtener datos	START	1679712720990
USER	Crear datos	START	1679712721021
USER	Borrar datos	START	1679712721112
USER	Obtener datos	START	1679712721115
REQUEST		Update	1679712720193	1679712721133	OK	 
REQUEST		Select	1679712720272	1679712721133	OK	 
USER	Actualizar datos	END	1679712721137
USER	Obtener datos	END	1679712721137
REQUEST		Select	1679712720418	1679712721195	OK	 
